   17.5 1.498E-04  197.6
   17.6 1.471E-04  197.8
   17.7 1.444E-04  198.0
   17.8 1.418E-04  198.2
   17.9 1.393E-04  198.4
   18.0 1.368E-04  198.6
   18.1 1.343E-04  198.9
   18.2 1.319E-04  199.1
   18.3 1.295E-04  199.4
   18.4 1.271E-04  199.7
   18.5 1.248E-04  199.9
   18.6 1.225E-04  200.2
   18.7 1.203E-04  200.5
   18.8 1.181E-04  200.8
   18.9 1.160E-04  201.1
   19.0 1.139E-04  201.4
   19.1 1.118E-04  201.7
   19.2 1.098E-04  202.0
   19.3 1.078E-04  202.3
   19.4 1.059E-04  202.6
   19.5 1.039E-04  202.9
   19.6 1.021E-04  203.2
   19.7 1.002E-04  203.6
   19.8 9.842E-05  203.9
   19.9 9.666E-05  204.2
   20.0 9.346E-05  204.5
   20.1 9.179E-05  204.8
   20.2 9.015E-05  205.1
   20.3 8.855E-05  205.4
   20.4 8.698E-05  205.7
   20.5 8.544E-05  206.0
   20.6 8.393E-05  206.3
   20.7 8.245E-05  206.6
   20.8 8.100E-05  206.8
   20.9 7.958E-05  207.1
   21.0 7.818E-05  207.4
   21.1 7.682E-05  207.7
   21.2 7.548E-05  207.9
   21.3 7.416E-05  208.2
   21.4 7.288E-05  208.5
   21.5 7.161E-05  208.8
   21.6 7.037E-05  209.0
   21.7 6.916E-05  209.3
   21.8 6.797E-05  209.5
   21.9 6.680E-05  209.8
   22.0 6.565E-05  210.0
   22.1 6.453E-05  210.3
   22.2 6.342E-05  210.5
   22.3 6.234E-05  210.8
   22.4 6.128E-05  211.0
   22.5 6.023E-05  211.3
   22.6 5.921E-05  211.5
   22.7 5.821E-05  211.8
   22.8 5.722E-05  212.0
   22.9 5.625E-05  212.2
   23.0 5.530E-05  212.5
   23.1 5.437E-05  212.7
   23.2 5.346E-05  212.9
   23.3 5.256E-05  213.1
   23.4 5.168E-05  213.4
   23.5 5.081E-05  213.6
   23.6 4.996E-05  213.8
   23.7 4.913E-05  214.0
   23.8 4.831E-05  214.3
   23.9 4.751E-05  214.5
   24.0 4.672E-05  214.7
   24.1 4.594E-05  214.9
   24.2 4.518E-05  215.1
   24.3 4.443E-05  215.3
   24.4 4.370E-05  215.5
   24.5 4.298E-05  215.8
   24.6 4.227E-05  216.0
   24.7 4.157E-05  216.2
   24.8 4.089E-05  216.4
   24.9 4.022E-05  216.6
   25.0 3.956E-05  216.8
   25.1 3.891E-05  217.0
   25.2 3.827E-05  217.2
   25.3 3.764E-05  217.4
   25.4 3.703E-05  217.6
   25.5 3.643E-05  217.8
   25.6 3.583E-05  218.0
   25.7 3.525E-05  218.2
   25.8 3.467E-05  218.4
   25.9 3.411E-05  218.6
   26.0 3.356E-05  218.8
   26.1 3.301E-05  219.0
   26.2 3.248E-05  219.3
   26.3 3.195E-05  219.5
   26.4 3.143E-05  219.7
   26.5 3.093E-05  219.9
   26.6 3.043E-05  220.1
   26.7 2.994E-05  220.3
   26.8 2.945E-05  220.5
   26.9 2.898E-05  220.7
   27.0 2.851E-05  220.9
   27.1 2.805E-05  221.1
   27.2 2.760E-05  221.3
   27.3 2.716E-05  221.5
   27.4 2.672E-05  221.7
   27.5 2.630E-05  221.9
   27.6 2.587E-05  222.1
   27.7 2.546E-05  222.4
   27.8 2.505E-05  222.6
   27.9 2.465E-05  222.8
   28.0 2.426E-05  223.0
   28.1 2.387E-05  223.2
   28.2 2.349E-05  223.4
   28.3 2.311E-05  223.7
   28.4 2.274E-05  223.9
   28.5 2.238E-05  224.1
   28.6 2.203E-05  224.3
   28.7 2.167E-05  224.6
   28.8 2.133E-05  224.8
   28.9 2.099E-05  225.0
   29.0 2.066E-05  225.3
   29.1 2.033E-05  225.5
   29.2 2.001E-05  225.7
   29.3 1.969E-05  226.0
   29.4 1.938E-05  226.2
   29.5 1.907E-05  226.5
   29.6 1.877E-05  226.7
   29.7 1.847E-05  227.0
   29.8 1.817E-05  227.2
   29.9 1.789E-05  227.5
   30.0 1.760E-05  227.7
   30.1 1.732E-05  228.0
   30.2 1.705E-05  228.3
   30.3 1.678E-05  228.5
   30.4 1.652E-05  228.8
   30.5 1.625E-05  229.1
   30.6 1.600E-05  229.4
   30.7 1.574E-05  229.7
   30.8 1.550E-05  229.9
   30.9 1.525E-05  230.2
   31.0 1.501E-05  230.5
   31.1 1.477E-05  230.8
   31.2 1.454E-05  231.1
   31.3 1.431E-05  231.4
   31.4 1.408E-05  231.8
   31.5 1.386E-05  232.1
   31.6 1.364E-05  232.4
   31.7 1.343E-05  232.7
   31.8 1.322E-05  233.1
   31.9 1.301E-05  233.4
   32.0 1.280E-05  233.7
   32.1 1.260E-05  234.1
   32.2 1.240E-05  234.4
   32.3 1.221E-05  234.8
   32.4 1.201E-05  235.2
   32.5 1.182E-05  235.5
   32.6 1.164E-05  235.9
   32.7 1.145E-05  236.3
   32.8 1.127E-05  236.6
   32.9 1.110E-05  237.0
   33.0 1.093E-05  237.4
   33.1 1.075E-05  237.7
   33.2 1.059E-05  238.1
   33.3 1.042E-05  238.4
   33.4 1.026E-05  238.8
   33.5 1.010E-05  239.1
   33.6 9.948E-06  239.5
   33.7 9.795E-06  239.8
   33.8 9.645E-06  240.2
   33.9 9.497E-06  240.5
   34.0 9.352E-06  240.8
   34.1 9.210E-06  241.2
   34.2 9.070E-06  241.5
   34.3 8.932E-06  241.8
   34.4 8.797E-06  242.1
   34.5 8.664E-06  242.5
   34.6 8.533E-06  242.8
   34.7 8.405E-06  243.1
   34.8 8.278E-06  243.4
   34.9 8.154E-06  243.7
   35.0 8.032E-06  244.0
   35.1 7.912E-06  244.3
   35.2 7.794E-06  244.6
   35.3 7.678E-06  244.9
   35.4 7.564E-06  245.2
   35.5 7.452E-06  245.5
   35.6 7.342E-06  245.8
   35.7 7.234E-06  246.1
   35.8 7.127E-06  246.4
   35.9 7.022E-06  246.7
   36.0 6.919E-06  247.0
   36.1 6.818E-06  247.3
   36.2 6.718E-06  247.5
   36.3 6.620E-06  247.8
   36.4 6.524E-06  248.1
   36.5 6.429E-06  248.4
   36.6 6.335E-06  248.6
   36.7 6.243E-06  248.9
   36.8 6.153E-06  249.2
   36.9 6.064E-06  249.4
   37.0 5.977E-06  249.7
